first_name,last_name,initials,height_in,height_cm,mass,hair,gender,species,homeworld,brown_hair
Mas,Amedda,MA,77.1652,196,NA,none,m,CHAGRIAN,Champala,FALSE
Padmé,Amidala,PA,72.8345,185,45,brown,f,HUMAN,Naboo,TRUE
Raymus,Antilles,RA,74.01559999999999,188,79,brown,m,HUMAN,Alderaan,TRUE
Wedge,Antilles,WA,66.929,170,77,brown,m,HUMAN,Corellia,TRUE
Dud,Bolt,DB,37.007799999999996,94,45,none,m,VULPTEREEN,Vulpter,FALSE
Lando,Calrissian,LC,69.6849,177,79,black,m,HUMAN,Socorro,FALSE
Biggs,Darklighter,BD,72.0471,183,84,black,m,HUMAN,Tatooine,FALSE
Jabba,Desilijic Tiure,JD,68.8975,175,1358,bald,m,HUTT,Nal Hutta,FALSE
Boba,Fett,BF,72.0471,183,78.2,black,m,HUMAN,Kamino,FALSE
Jango,Fett,JF,72.0471,183,79,black,m,HUMAN,Concord Dawn,FALSE
Kit,Fisto,KF,77.1652,196,87,none,m,NAUTOLAN,Glee Anselm,FALSE
Bib,Fortuna,BF,70.866,180,NA,none,m,TWI'LEK,Ryloth,FALSE
Adi,Gallia,AG,72.4408,184,50,none,f,THOLOTHIAN,Coruscant,FALSE
Nute,Gunray,NG,75.19669999999999,191,90,none,m,NEIMODIAN,Cato Neimoidia,FALSE
San,Hill,SH,75.19669999999999,191,NA,none,m,MUUN,Muunilinst,FALSE
Jar,Jar Binks,JJ,77.1652,196,66,none,m,GUNGAN,Naboo,FALSE
Dexter,Jettster,DJ,77.9526,198,102,none,m,BESALISK,Ojom,FALSE
Qui-Gon,Jinn,QJ,75.9841,193,89,brown,m,HUMAN,NA,TRUE
Obi-Wan,Kenobi,OK,71.6534,182,77,"auburn, white",m,HUMAN,Stewjon,FALSE
Plo,Koon,PK,74.01559999999999,188,80,none,m,KEL DOR,Dorin,FALSE
Eeth,Koth,EK,67.3227,171,NA,black,m,ZABRAK,Iridonia,FALSE
Cliegg,Lars,CL,72.0471,183,NA,brown,m,HUMAN,Tatooine,TRUE
Owen,Lars,OL,70.0786,178,120,"brown, grey",m,HUMAN,Tatooine,TRUE
Darth,Maul,DM,68.8975,175,80,none,m,ZABRAK,Dathomir,FALSE
Tion,Medon,TM,81.1022,206,80,none,m,PAU'AN,Utapau,FALSE
Sly,Moore,SM,70.0786,178,48,none,NA,NA,Umbara,FALSE
Mon,Mothma,MM,59.055,150,NA,auburn,f,HUMAN,Chandrila,FALSE
